iter	Passed	Remaining
175	1102	5160
176	1106	5142
177	1109	5125
178	1113	5107
179	1117	5090
180	1121	5073
181	1124	5055
182	1128	5036
183	1131	5018
184	1135	5002
185	1139	4985
186	1142	4968
187	1146	4952
188	1150	4936
189	1154	4920
190	1157	4904
191	1161	4888
192	1165	4872
193	1169	4856
194	1172	4841
195	1176	4825
196	1180	4810
197	1183	4794
198	1187	4779
199	1190	4763
200	1194	4747
201	1197	4732
202	1201	4717
203	1204	4701
204	1208	4686
205	1212	4671
206	1215	4656
207	1219	4641
208	1222	4626
209	1226	4612
210	1229	4598
211	1233	4584
212	1236	4570
213	1240	4556
214	1244	4544
215	1249	4533
216	1253	4522
217	1257	4510
218	1261	4498
219	1265	4485
220	1269	4473
221	1272	4460
222	1276	4447
223	1279	4434
224	1283	4421
225	1287	4408
226	1290	4395
227	1294	4382
228	1298	4370
229	1302	4359
230	1305	4347
231	1309	4334
232	1315	4330
233	1320	4321
234	1324	4310
235	1328	4300
236	1332	4289
237	1335	4277
238	1339	4264
239	1342	4252
240	1346	4240
241	1350	4229
242	1353	4217
243	1357	4204
244	1360	4193
245	1364	4182
246	1368	4172
247	1372	4161
248	1376	4151
249	1380	4140
250	1383	4129
251	1387	4118
252	1390	4106
253	1394	4095
254	1398	4085
255	1402	4075
256	1406	4066
257	1410	4056
258	1414	4045
259	1417	4035
260	1421	4024
261	1425	4014
262	1428	4003
263	1432	3993
264	1436	3983
265	1439	3973
266	1443	3963
267	1447	3952
268	1450	3942
269	1454	3932
270	1458	3923
271	1462	3913
272	1466	3904
273	1471	3898
274	1475	3890
275	1479	3880
276	1483	3870
277	1486	3861
278	1491	3854
279	1495	3845
280	1499	3836
281	1502	3826
282	1506	3816
283	1510	3807
284	1513	3797
285	1517	3788
286	1521	3779
287	1524	3769
288	1528	3761
289	1532	3752
290	1536	3743
291	1539	3733
292	1543	3725
293	1547	3716
294	1551	3707
295	1554	3698
296	1558	3689
297	1562	3680
298	1566	3672
299	1569	3662
300	1573	3654
301	1577	3645
302	1581	3637
303	1584	3628
304	1588	3620
305	1592	3612
306	1596	3604
307	1600	3595
308	1603	3586
309	1607	3578
310	1611	3569
311	1615	3561
312	1618	3553
313	1622	3544
314	1626	3536
315	1630	3528
316	1633	3520
317	1637	3512
318	1641	3503
319	1645	3495
320	1648	3487
321	1652	3479
322	1656	3471
323	1659	3462
324	1663	3454
325	1667	3447
326	1671	3439
327	1674	3431
328	1678	3423
329	1682	3416
330	1686	3407
331	1689	3399
332	1693	3391
333	1696	3382
334	1700	3375
335	1703	3367
336	1707	3359
337	1711	3351
338	1715	3344
339	1719	3337
340	1722	3329
341	1726	3321
342	1730	3313
343	1733	3306
344	1737	3298
345	1741	3291
346	1745	3284
347	1748	3276
348	1752	3269
349	1756	3261
350	1760	3254
351	1763	3247
352	1767	3239
353	1771	3232
354	1775	3225
355	1778	3217
356	1782	3210
357	1786	3203
358	1789	3195
359	1793	3188
360	1797	3181
361	1801	3175
362	1806	3169
363	1810	3163
364	1814	3157
365	1818	3150
366	1822	3142
367	1826	3136
368	1830	3130
369	1835	3125
370	1840	3120
371	1845	3116
372	1850	3110
373	1856	3106
374	1860	3101
375	1865	3096
376	1870	3091
377	1875	3085
378	1880	3080
379	1885	3076
380	1890	3071
381	1895	3065
382	1899	3060
383	1904	3054
384	1909	3050
385	1915	3046
386	1920	3041
387	1925	3037
388	1930	3032
389	1935	3028
390	1941	3023
391	1946	3019
392	1952	3015
393	1957	3010
394	1961	3004
395	1965	2998
396	1970	2993
397	1975	2988
398	1980	2982
399	1985	2978
400	1991	2974
401	1996	2969
402	2001	2965
403	2006	2960
404	2011	2955
405	2016	2950
406	2019	2942
407	2024	2937
408	2030	2933
409	2035	2928
410	2040	2924
411	2045	2919
412	2051	2915
413	2055	2909
414	2060	2903
415	2064	2898
416	2069	2893
